Date,Open,High,Low,Close,Adj Close,Volume
01-11-2006,2.896429,3.327143,2.778214,3.273571,2.771404,13834884000
01-12-2006,3.278571,3.2975,2.741786,3.03,2.565196,16890792800
01-01-2007,3.081786,3.492857,2.925,3.061786,2.592106,27209781200
01-02-2007,3.079643,3.243214,2.959286,3.021786,2.558243,13722354800
01-03-2007,3.001071,3.458214,2.991071,3.318214,2.809198,15918644000
01-04-2007,3.362143,3.660714,3.2,3.564286,3.017522,13459740000
01-05-2007,3.556786,4.363214,3.519643,4.328214,3.664264,17365068000
01-06-2007,4.325,4.5575,4.121429,4.358571,3.689964,23279541600
01-07-2007,4.323214,5.318571,4.260714,4.705714,3.983855,24018573600
01-08-2007,4.772857,4.9875,3.986429,4.945714,4.18704,24360798000
01-09-2007,4.997857,5.535714,4.642857,5.481071,4.64027,20931223600
01-10-2007,5.5225,6.79,5.461786,6.783929,5.743269,23277791600
01-11-2007,6.735714,6.881429,5.379643,6.507857,5.509549,26199790400
01-12-2007,6.495,7.248571,6.321071,7.074286,5.989088,17252678800
01-01-2008,7.116786,7.152143,4.505,4.834286,4.092704,35173888400
01-02-2008,4.865714,4.878214,4.122857,4.465,3.780066,24865954400
01-03-2008,4.444286,5.205,4.214286,5.125,4.338821,22927273600
01-04-2008,5.225,6.428571,5.128929,6.2125,5.2595,22786982400
01-05-2008,6.248571,6.865714,6.142857,6.741071,5.706988,18588214400
01-06-2008,6.735714,6.783929,5.8625,5.98,5.062666,19475794800
01-07-2008,5.865357,6.461071,5.233214,5.676786,4.805965,19749760800
01-08-2008,5.710714,6.444643,5.461071,6.054643,5.125858,13085755200
01-09-2008,6.157143,6.196429,3.5925,4.059286,3.43659,24067562400
01-10-2008,3.997143,4.157143,3.035714,3.8425,3.253059,41426711200
01-11-2008,3.783214,3.9925,2.826429,3.309643,2.801942,23619461600
01-12-2008,3.260714,3.7,3.019643,3.048214,2.580616,20213846800
01-01-2009,3.067143,3.470357,2.792857,3.218929,2.725144,18105740800
01-02-2009,3.182143,3.678571,3.089643,3.189643,2.700351,13867450800
01-03-2009,3.147143,3.927857,2.940357,3.754286,3.178376,15424598000
01-04-2009,3.7175,4.542857,3.710357,4.493929,3.804559,11821681200
01-05-2009,4.492857,4.853571,4.263571,4.850357,4.106311,9457142800
01-06-2009,4.873929,5.228571,4.745714,5.086786,4.306469,12675572000
01-07-2009,5.125,5.892857,4.800714,5.835357,4.940211,10942136800
01-08-2009,5.900357,6.160357,5.693571,6.0075,5.085948,8165124800
01-09-2009,5.999643,6.746429,5.861071,6.619643,5.604187,9989319200
01-10-2009,6.619643,7.453929,6.453571,6.732143,5.699428,12956176800
